ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HORA,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,Calle,Altura,Cruce,Dirección Normalizada,COMUNA,pos x,pos y,PARTICIPANTES,VICTIMA,ACUSADO
2016-0001,1,2016-01-01,2016,1,1,,1970-01-01 00:00:00.000000004,AV PIEDRA BUENA Y AV FERNANDEZ DE LA CRUZ,AVENIDA,PIEDRA BUENA AV.,"6502, Avenida General Francisco Fernández de La Cruz, Villa Riachuelo, Buenos Aires, Distrito del Deporte, Comuna 8, Ciudad Autónoma de Buenos Aires, C1439COV, Argentina","FERNANDEZ DE LA CRUZ, F., GRAL. AV.","PIEDRA BUENA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-58.47533969,-34.68757022,MOTO-AUTO,MOTO,AUTO
2016-0002,1,2016-01-02,2016,1,2,,1970-01-01 00:00:00.000000001,AV GRAL PAZ  Y AV DE LOS CORRALES,GRAL PAZ,"PAZ, GRAL. AV.","Avenida de los Corrales, Mataderos, Buenos Aires, Comuna 9, Ciudad Autónoma de Buenos Aires, C1440AUN, Argentina",DE LOS CORRALES AV.,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,-58.50877521,-34.66977709,AUTO-PASAJEROS,AUTO,PASAJEROS
2016-0003,1,2016-01-03,2016,1,3,,1970-01-01 00:00:00.000000007,AV ENTRE RIOS 2034,AVENIDA,ENTRE RIOS AV.,2034.0,"ICBC, 15 de Noviembre de 1889, Constitución, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, 1136, Argentina",ENTRE RIOS AV. 2034,1,-58.39040293,-34.63189362,MOTO-AUTO,MOTO,AUTO
2016-0004,1,2016-01-10,2016,1,10,,1970-01-01 00:00:00.000000000,AV LARRAZABAL Y GRAL VILLEGAS CONRADO,AVENIDA,LARRAZABAL AV.,"Avenida Larrazábal, Barrio Savio, Villa Lugano, Buenos Aires, Distrito del Deporte, Comuna 8, Ciudad Autónoma de Buenos Aires, C1439EMK, Argentina","VILLEGAS, CONRADO, GRAL.","LARRAZABAL AV. y VILLEGAS, CONRADO, GRAL.",8,-58.46503904,-34.68092974,MOTO-SD,MOTO,SD
2016-0005,1,2016-01-21,2016,1,21,,1970-01-01 00:00:00.000000005,AV SAN JUAN Y PRESIDENTE LUIS SAENZ PEÑA ,AVENIDA,SAN JUAN AV.,"1202, Presidente Luis Sáenz Peña, Constitución, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, 1135, Argentina","SAENZ PE?A, LUIS, PRES.","SAN JUAN AV. y SAENZ PEÃ‘A, LUIS, PRES.",1,-58.38718297,-34.6224663,MOTO-PASAJEROS,MOTO,PASAJEROS
2016-0008,1,2016-01-24,2016,1,24,,1970-01-01 00:00:00.000000018,AV 27 DE FEBRERO Y AV ESCALADA,AVENIDA,27 DE FEBRERO AV.,"Avenida Escalada, Villa Riachuelo, Buenos Aires, Distrito del Deporte, Comuna 8, Ciudad Autónoma de Buenos Aires, C1439JCA, Argentina",ESCALADA AV.,27 DE FEBRERO AV. y ESCALADA AV.,8,-58.44451316,-34.68475866,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2016-0009,1,2016-01-24,2016,1,24,,1970-01-01 00:00:00.000000019,NOGOYA Y JOAQUIN V. GONZALES,CALLE,NOGOYA,"3900, Nogoyá, Villa del Parque, Buenos Aires, Comuna 11, Ciudad Autónoma de Buenos Aires, 1417, Argentina","GONZALEZ, JOAQUIN V.","NOGOYA y GONZALEZ, JOAQUIN V.",11,-58.50095869,-34.6082544,MOTO-AUTO,MOTO,AUTO
2016-0010,1,2016-01-29,2016,1,29,,1970-01-01 00:00:00.000000015,AV GENERAL PAZ Y AV DE LOS CORRALES,GRAL PAZ,"PAZ, GRAL. AV.","Avenida de los Corrales, Mataderos, Buenos Aires, Comuna 9, Ciudad Autónoma de Buenos Aires, C1440AUN, Argentina",DE LOS CORRALES AV.,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,-58.50877521,-34.66977709,MOTO-AUTO,MOTO,AUTO
2016-0012,1,2016-02-08,2016,2,8,,1970-01-01 00:00:00.000000001,AV BELGRANO Y BERNARDO DE IRIGOYEN,AVENIDA,BELGRANO AV.,"402, Bernardo de Irigoyen, Monserrat, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, C1098AAT, Argentina","IRIGOYEN, BERNARDO DE","BELGRANO AV. e IRIGOYEN, BERNARDO DE",1,-58.38048577,-34.61303893,MOTO-CARGAS,MOTO,CARGAS
2016-0013,1,2016-02-10,2016,2,10,,1970-01-01 00:00:00.000000011,AV ENTRE RIOS 1366,AVENIDA,ENTRE RIOS AV.,1366.0,"1368, Avenida Entre Ríos, Constitución, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, 1133, Argentina",ENTRE RIOS AV. 1366,1,-58.39114932,-34.62477387,PEATON-AUTO,PEATON,AUTO
